wmid,wnum,werr
-22.727048546821194,1,1.0
-21.180443964958563,2,1.4142135623730951
-19.633839383095935,7,2.6457513110645907
-18.087234801233308,8,2.8284271247461903
-16.540630219370676,22,4.69041575982343
-14.99402563750805,37,6.082762530298219
-13.447421055645421,51,7.14142842854285
-11.900816473782793,72,8.48528137423857
-10.354211891920166,96,9.797958971132712
-8.807607310057538,87,9.327379053088816
-7.261002728194908,103,10.14889156509222
-5.714398146332281,116,10.770329614269007
-4.167793564469653,95,9.746794344808963
-2.6211889826070234,96,9.797958971132712
-1.0745844007443939,70,8.366600265340756
0.47202018111823385,42,6.48074069840786
2.0186247629808616,23,4.795831523312719
3.5652293448434893,13,3.605551275463989
5.111833926706119,12,3.4641016151377544
6.658438508568748,3,1.7320508075688772
