wmid,wnum,werr
-23.943125237720217,2,1.4142135623730951
-22.30191395632488,2,1.4142135623730951
-20.660702674929542,4,2.0
-19.019491393534206,6,2.449489742783178
-17.37828011213887,16,4.0
-15.737068830743533,29,5.385164807134504
-14.095857549348196,45,6.708203932499369
-12.45464626795286,80,8.94427190999916
-10.813434986557521,86,9.273618495495704
-9.172223705162185,131,11.445523142259598
-7.53101242376685,114,10.677078252031311
-5.889801142371512,121,11.0
-4.248589860976175,88,9.38083151964686
-2.607378579580839,75,8.660254037844387
-0.9661672981855016,66,8.12403840463596
0.6750439832098358,36,6.0
2.3162552646051715,23,4.795831523312719
3.957466546000509,13,3.605551275463989
5.598677827395846,5,2.23606797749979
7.239889108791181,4,2.0
