w,Nw,errw
-36.0,5,2.23606797749979
-32.0,5,2.23606797749979
-28.0,4,2.0
-24.0,17,4.123105625617661
-20.0,33,5.744562646538029
-16.0,59,7.681145747868608
-12.0,92,9.591663046625438
-8.0,93,9.643650760992955
-4.0,90,9.486832980505138
0.0,66,8.12403840463596
4.0,52,7.211102550927978
8.0,21,4.58257569495584
12.0,15,3.872983346207417
16.0,6,2.449489742783178
20.0,2,1.4142135623730951
24.0,1,1.0
